"first_name","last_name"
"Katica","Katić"
"Kristina","Jurić"
"Srećko","Kovačević"
"Zorica","Zelenović"
"Josip","Gorički"
"Denis","Lončina"
"Dalibor","Subota"
"Ivan Zvonimir","Jambrišak"
"Matej","Stanišak"
"Antonio","Filipović"
"Jasna","Ivanušec"
"Ana","Brozović"
"Elena","Baćac"
"Antun","Lovik"
"Ivan","Sladić"
"Mirko","Katić"
"Mario","Ceronja"
"Vedran","Horvatić"
"Vice","Božina"
"Zdravko","Konjević"
"Dalibor","Vlaho"
"Nevija","Tireli"
"Vanja","Kaluđer"
"Lidija","Posavec"
"Marin","Ložnjak"
"Silvana","Piškorjanac"
"Sanela","Buntić"
"Maja","Bručić Zlački"
"Marko","Elezović"
"Matija","Malović"
"Dejan","Nagy"
"Mario","Perak"
"Tin","Prelec"
"Tomislav","Lauš"
"Dušan","Kljenak"
"Neven","Jakšić"
"Erna","Vučković"
"Tomislav","Lončarić"
"Nedeljko","Mihalić"
"Marijan","Škrabo"
"Jelena","Kujundžić"
"Martina","Pašalić"
"Smiljka","Drobnjak"
"Kristina","Bagarić"
"Zvonimir","Šacl"
"Roman","Žitnik"
"Sanja","Kržanić"
"Josip","Hođa"
"Maja","Hadaš"
"Ivan","Basar"
"Matias","Martinis"
"Davor","Igrec"
"Ivan","Mandac"
"Sanja","Bašić"
"Zvjezdana","Vrkić"
"Marijan","Džoić"
"Marina","Maljak"
"Adisa","Žinić"
"Ines","Prvonožac"
"Nikola","Videc"
"Antonija","Benčić"
"Danijela","Šabić"
"Ljubomir","Kovačević"
"Marija","Štimac"
"Danijela","Brkljačić"
"Mara","Matijašić"
"Ervin","Milinković"
"Hrvoje","Kunac"
"Neven","Friščić"
"Ivan","Bilandžić"
"Anita","Murić Marinković"
"Velimir","Šutalo"
"Silvija","Vuk"
"Tomislav","Lež"
"Dajana","Dević"
"Snježana","Čoboj"
"Mirjana","Kolarević"
"Marina","Marinčić Vićentić"
"Tomislav","Novosel"
"Siniša","Ivanović"
"Nikola","Karlović"
"Jasna","Jačmenica"
"Antonio","Bijelić"
"Tomislav","Kralj"
"Pavao","Parunov"
"Marina","Slijepčević"
"Mateja","Fras"
"Desanka","Kljajić"
"Dean","Belušić"
"Milan","Lončar"
"Grgur","Lutz"
"Arabella","Višković Grabrović"
"Božena","Vrgoč"
"Milenka","Pelić"
"Lana","Bahunek"
"Valentino","Petek"
"Goran","Maček"
"Tea","Bader"
"Damir","Kiš"
"Nataša","Miškatović"
"Petar","Grgić"
"Josip","Čović"
"Smiljana","Srnec"
"Željko","Adžijević"
"Tomislav","Daić"
"Antonio","Ivančić"
"Ivana","Kovač"
"Robert","Kolar"
"Mihael","Halavuk"
"Andrea","Funda"
"Romana","Svetlečić"
"Darko","Franjo"
"Paško","Ivančić"
"Nataša","Horvat"
"Nenad","Sabo"
"Zlatko","Stanišak"
"Boris","Halusek"
"Mihael","Jeleč"
"Enida","Mešanović"
"Ivan","Posavac"
"Ante","Torlak"
"Suzana","Đurašina"
"Tomislav","Pršir"
"Stjepan","Petrak"
"Lucija","Dumenčić"
"Tihomir","Buden"
"Kristijan","Radošević"
"Sandra","Parlov"
"Ivor","Antolović"
"Vesna","Andrić Župčić"
"Marija","Karković"
"Denis","Cickaji"
"Nikša","Stojić"
"Miro","Mihaljević"
"Sebastian","Šverko"
"Neven","Falica"
"Ljubica","Mikac"
"Bosiljka","Kovačević"
"Tvrtko Mislav","Idžanović"
"Domagoj","Kovačić"
"Miroslav","Županić"
"Dario","Sivić"
"Irena","Trkeš"
"Kristina","Leko"
"Saša","Perčić"
"Kristina","Khos"
"Vedran","Đukić"
"Thomas-Toma","Sirovec"
"Bruno","Vidović"
"Miroslav","Kovačić"
"Đanfranko","Šturbej"
"Maša","Hercog"
"Sanja","Kljajić"
"Branko","Matošić"
"Darko","Marić"
"Božica","Rukljić"
"Dijana","Bradić"
"Branka","Turk"
"Mateo","Vuletić"
"Iva","Knezović"
"Alen","Vratarić"
"Željko","Sinković"
"Ivana","Stolica"
"Romeo","Sršen"
"Blaženka","Kolar"
"Lidija","Lozančić"
"Mirko","Mikulandra"
"Lucija","Zdrilić"
"Maja","Gović"
"Karmela","Karadakić"
"Zoran","Prepelić"
"Dalibor","Giba"
"Domagoj","Špoljarec"
"Vedran","Avdić"
"Snježana","Stanišak"
"Davorko","Feil"
"Iva","Brandić"
"Paula","Topić"
"Jere","Perkov"
"Andreja","Livnjak Popović"
"Anđela","Šćepanović"
"Damir","Prikratki"
"Mirijam","Malunec"
"Željko","Jozić"
"Mario","Arklenić"
"Suzana","Rapić"
"Marijan","Kovač"
"Miroslav","Marlović"
"Zdenko","Kusec"
"Nino","Kovačić"
"Vojislav","Beader"
"Damir","Držanić"
"Matea","Marković"
"Jožef","Terheš"
"Mario","Jozić"
"Mladen","Kurija"
"Ivan","Lukežić"
"Ana","Crnković"
"Branimir-Leon","Krkić"
"Simone","Stankić"
"Damir","Draženović"
"Goran","Reljić"
"Tajana","Hercigonja"
"Nikolina","Ranogajec"
"Miroslav","Zadro"
"Jadranka","Fernežir"
"Ivica","Gagić"
"Alen","Matišić"
"Mario","Belanović"
"Darko","Stevanović"
"Martina","Malkić"
"Vesna","Kralj"
"Vlasta","Puškaš"
"Andrijana","Jurin"
"Dean","Lađarević"
"Marijana","Stanek"
"Tanja","Rogulj"
"Boris","Bogadi"
"Jelena","Gjurašin"
"Vinko","Božić"
"Damir","Hustić"
"Domagoj","Kovačić"
"Goran","Dučić"
"Jozo","Bilušić"
"Mario","Colić"
"Mario","Batarelo"
"Dejan","Jambrović"
"Marija","Jakelić"
"Ivica","Jelić"
"Robert","Pranjić"
"Tomislav","Tušinec"
"Marijana","Hodak"
"Jasna","Žerovnik"
"Lukas","Komerlin"
"Marko","Radetić"
"Igor","Marcikić"
"Ivica Dražen","Palčić"
"Ivica","Šeketa"
"Radmila","Sakal"
"Irena","Smoković"
"Edina","Mujčić"
"Saša","Stojanović"
"Marin","Dubovečak"
"Nikolina","Vargantolić"
"Dražen","Ivanušec"
"Kristina","Ćorić"
"Katarina","Brčić"
"Zvonko","Čelan"
"Igor","Majcenović"
"Branko","Kalik"
"Sandra","Bartolović"
"Sandra","Belančić"
"Nikša","Markov"
"Danijel","Savičić"
"Biserka","Delimar"
"Marijana","Babić"
"Matea","Pejanić"
"Darko","Radić"
"Irena","Keškić"
"Moreno","Žic"
"Mirela","Kovačić"
"Katarina","Musa"
"Julija","Sinovčić"
"Suzana","Brezan"
"Jasenko","Rakić"
"Nenad","Ćudić"
"Gordana","Rijetković"
"Rea","Kolšek"
"Ana","Rospacher"
"Dino","Svirčić"
"Slavko","Barišić"
"Marija","Kragić-Marinić"
"Hrvoje","Mešeg"
"Ana Marija","Kos"
"Željka","Franjo"
"Zdenko","Felja"
"Vladimir","Somek"
"Denis","Popović"
"Ivan","Babić"
"Zvijezdana","Čavka"
"Kristijan","Lacković"
"Kristina","Jelačić"
"Tomo","Lacković"
"Marijo","Zoričić"
"Edit","Arbanas"
"Martina","Matijević"
"Jerko","Čukušić"
"Igor","Mandić"
"Petar","Žunić"
"Natalija","Perši"
"Alfonz","Đurđević"
"Ivan","Orlović"
"Jasna","Pavlek"
"Rade","Popović"
"Robert","Kajzogaj"
"Željko","Kostelac"
"Darko","Peharda"
"Ivana","Merkaš"
"Zlatko","Zorić"
"Dubravka","Mihajlovski"
"Dubravka","Žeželj"
"Valentino","Šajnović"
"Dejana","Boczka"
"Martina","Solpa"
"Trpimir","Barnjak"
"Marinko","Posavec"
"Maja","Jurišić"
"Nermin","Mešanović"
"Nikša","Mendica"
"Ivana","Turudić"
"Tomislav","Grgurić"
"Danijela","Kraus"
"Anđelko","Silov"
"Helga","Kovačić"
"Radoslav","Bogojević"
"Stjepan","Rotim"
"Snježana","Kuzminski"
"Damir","Fiolić"
"Vera","Milivojević"
"Vesna","Štampar"
"Sanja","Tarabić"
"Bettina Nikolina","Dujmović"
"Anđelko","Svrta"
"Karolina","Šegović"
"Kristijan","Drožđek"
"Sandra","Šeketa"
"Milan","Nekić"
"Franjo","Varga"
"Davor","Tambolaš"
"Mario","Milković"
"Vesna","Golubić"
"Izabela","Iljkić"
"Ana","Konjević"
"Jela","Vidak"
"Maja","Skender"
"Jelica","Kalmar"
"Antonio","Barilar"
"Anica","Zečević"
"Bojan","Bonifačić"
"Gordana","Žerjav"
"Igor","Bukvić"
"Stjepan","Cirkvenčić"
"Gordana","Janton"
"Luka","Razmilović"
"Štefica","Godec"
"Dalibor","Galić"
"Suzana","Pušec"
"Domagoj","Molnar"
"Vesna","Bednjanec"
"Jure","Rotim"
"Tino","Bogdanović"
"Ivica","Stjepić"
"Danijel","Bandalo"
"Tomislav","Matić"
"Danijela","Ružić"
"Valentino","Budisavljević"
"Marijan","Kovačić"
"Sandro","Solić"
"Mirjana","Ščapec"
"Igor","Cvitanović"
"Božidar","Štimac"
"Ivo","Obreza"
"Martina","Pongrac"
"Mirko","Andrijić"
"Mladen","Komes"
"Ivan","Jureša"
"Suada","Lukaš"
"Anđelko","Srbotnjak"
"Željko","Lovrić"
"Josip","Bušić"
"Nada","Grgurin"
"Dejan","Šajnović"
"Anamarija","Radev"
"Mateja","Ormanec"
"Denis","Širić"
"Štefanija","Peroković"
"Mirjana","Alijagić"
"Mario","Bibić"
"Sadina","Softić"
"Jasmina","Duraković"
"Ivan","Kavaš"
"Mirjana","Žuvela"
"Mario","Miljan"
"Marica","Papa"
"Maja","Lokas"
"Linda","Ruić"
"Ivica","Borić"
"Marijeta","Miloslavić"
"Ozana","Mitar"
"Ante","Duspara"
"Goran","Labus"
"Tihomir","Valjak"
"Marinko","Valčić"
"Božidar","Havaić"
"Igor","Kučar"
"Dean","Ivšić"
"Jurica","Zajec"
"Božo","Čavka"
"Ružica","Galić"
"Suzana","Badanković"
"Hrvoje","Malčić"
"Goran","Šošić"
"Sonja","Blažević"
"Mario","Andrašić"
"Denis","Vlašković"
"Alen","Jerman"
"Grozdana","Dokmanović"
"Martina","Varošanec"
"Marko","Purgar"
"Slavko","Ivičić"
"Nataša","Cvetko"
"Davor","Puhača"
"Tomica","Krištofić"
"Josip","Romfeld"
"Evelina","Vukmanović"
"Dalibor","Jugović"
"Nensi","Brgić"
"Biljana","Kovačević Premužak"
"Laura","Špoljar"
"Biljana","Lukić"
"Ivan","Ljubej"
"Stipe","Katušić"
"Slaven","Kokorić"
"Zvjezdan","Đurđević"
"Marina","Sabolek"
"Biserka","Brulja"
"Marko","Jerkić"
"Željko","Živković"
"Svetlana","Kahlina"
"Vanja","Stanković"
"Mijo","Kordić"
"Jasna","Dejanović-Bastašić"
"Aleksandra","Rac"
"Jasmina","Svalina"
"Ante","Biondić"
"Jonatan","Sokač"
"Antonio","Vrček"
"Hrvoje","Ettinger"
"Ivan","Belovari"
"Vera","Maroshi"
"Josipa","Andrijanić"
"Katarina","Krznar"
"Alma","Mujadžić"
"Zlatko","Barić"
"Antonio","Bašković"
"Zoran","Grašić"
"Denis","Storić"
"Sofija","Badanković"
"Dragan","Knežević"
"Milan","Čorak"
"Mario","Dojder"
"Marija","Vukres"
"Dario","Hrdan"
"Pepo","Vranić"
"Eva","Kanić"
"Stiven","Ruvčeski"
"Nino","Vitković"
"Stana","Kovačević"
"Sandra","Karnik"
"Dijana","Fridl"
"Marija","Rodeš"
"Josip","Gajšak"
"Zvonimir","Vuković"
"Tomislav","Hrgarek"
"Dejan","Vekić"
"Marko","Sever"
"Slavko","Šantak"
"Biserka","Živko"
"Mile","Hodak"
"Katica","Verzon"
"Katica","Bjelka"
"Damir","Jurekić"
"Sanja","Kolar"
"Katarina","Lesičar"
"Marijana","Pujić"
"Manuela","Čulina"
"Margareta","Balog"
"Ante","Vukšić"
"Darko","Filipović"
"Alan","Prevendar"
"Veljko","Vidović"
"Dražen","Čiček"
"Zlata","Vidović"
"Siniša","Pupovac"
"Predrag","Mijatović"
"Mario","Brkić"
"Daniel","Fabijan"
"Olivera","Erdeli"
"Darija","Švob"
"Miroslav","Ulaković"
"Ines","Jerčinović"
"Nikolina","Čikulin"
"Ljubomir","Dujmović"
"Josip","Kujadin"
"Hrvoje","Dukarić"
"Željko","Vojvodić"
"Jasna","Derjanović"
"Ksenija","Rukelj"
"Marijan","Gagulić"
"Kristina","Rajković"
"Anica","Mulig"
"Berislav","Šimunić"
"Marijo","Vuk"
"Maja","Moler"
"Ivanko","Jelinčić"
"Antonio","Devčić"
"Goran","Gorić"
"Vlado","Miletić"
"Andrijana","Radas"
"Svetozar","Ličanin"
"Berislav","Jukić"
"Katarina","Brešić"
"Irena","Brandić"
"Nenad","Vuksan"
"Stanko","Skoko"
"Nataša","Horvat Dreta"
"Dejan","Kolar"
"Antonija","Perišić"
"Lucija","Landeka"
"Vlatka","Buj"
"Antonija","Katić"
"Antun","Janković"
"Miroslav","Damjanović"
"Mario","Butković"
"Denis","Pajić"
"Slađana","Ignac"
"Vedran","Lovrić"
"Denis","Vidak"
"Antonio","Mandir"
"Tomislav","Kolarić"
"Kristina","Presečki"
"Marijo","Razum"
"Daliborka","Kraljević"
"Martina","Pavičić"
"Igor","Mesaroš"
"Vera","Vukoša"
"Borislav","Lukić"
"Đurđa","Čikulin"
"Melita","Poslon"
"Stjepan","Galinec"
"Ivanka","Gerić"
"Mato","Kurtušić"
"Stjepan","Kahlina"
"Dominko","Perkušić"
"Mario","Stanešić"
"Davor","Setnik"
"Damir","Rakek"
"Sanda","Čamber"
"Predrag","Žganec"
"Mirjana","Stojak"
"Mladen","Birka"
"Mario","Kolarek"
"Ivica","Petek"
"Ante","Taslak"
"Vanja","Milković"
"Mario","Pahor"
"Nikolina","Milčić"
"Biljana","Valentin-Ban"
"Miodrag","Hamović"
"Tomislav","Gmajnički"
"Nives","Tušak"
"Marko","Čalušić"
"Ivan","Marinčić"
"Antonio","Čitarović"
"Antonija","Alić"
"Andrej","Šantić"
"Josip","Milčić"
"Hrvoje","Kulazo"
"Snježana","Marković"
"Jure","Stanić"
"Ivan","Kelemin"
"Danijel","Šaško"
"Petra","Sabok"
"Antonio","Pantalon"
"Ljubinka","Perković"
"Marija","Imširović"
"Ivana","Božić"
"Antonio","Adžaga"
"Višnja","Barbarić"
"Igor","Kiš"
"Dubravko","Kovačić"
"Marina","Horvat"
"Josip","Gestić"
"Bruno","Petrović"
"Milena","Kralj"
"Neven","Šuster"
"Stipe","Džoić"
"Matija","Vlainić"
"Marija","Sušić"
"Alen","Ovad"
"Antonio","Lukač"
"Ljubica","Kukec"
"Zoran","Matekalo"
"Željka","Nimac"
"Mirela","Matotek"
"Rosanda","Štajduhar"
"Zrinka","Pintar-Kerovec"
"Marta","Talan"
"Mirjana","Brgić"
"Marina","Sertić"
"Neven","Večerić"
"Mihael","Šikoronja"
"Zoran","Kajišić"
"Darko","Markušić"
"Bernard","Kasić"
"Dražen","Kustura"
"Marko","Penić"
"Hrvoje","Zelenić"
"Gverino","Brgić"
"Josip","Novak"
"Dražen","Bubanj"
"Mario","Kelebuh"
"Krešimir","Gavran"
"Filip","Subotić"
"Petra","Đurkas"
"Blaženka","Krizman"
"Bruno","Kaurinović"
"Ljubo","Babaja"
"Mario","Stanić"
"Slađan","Jakus"
"Alen","Zirdum"
"Kalman","Tot"
"Vehid","Torlaković"
"Gordana","Peroković"
"Nikolina","Babić"
"Rade","Joka"
"Mirna","Čelar"
"Igor","Bujas"
"Maja","Kos"
"Marijana","Boras"
"Jelena","Šušnjara"
"Ljubica","Cesar"
"Ivan","Batarelo"
"Zrinka","Pušić"
"Tibor","Bocka"
"Dalibor","Uroić-Varga"
"Nikolina","Martinjak"
"Anisa","Đonlić"
"Dragutin","Malačić"
"Petra","Gašparović"
"Ante","Nakić"
"Ana","Račan"
"Danijela","Kralj"
"Goran","Ključarić"
"Petra","Ratkajec"
"Slobodan","Sailović"
"Ines","Perica"
"Ivan","Jurić"
"Katarina","Doboš"
"Marko","Mikolić"
"Barbara","Držaić"
"Srećka","Antunac"
"Mario","Petani"
"Jedinko","Akrap"
"Matej","Golemović"
"Željko","Tolić"
"Marijana","Stipanović"
"Željko","Čović"
"Eldvin","Budimir"
"Manuela","Blažun"
"Pero","Dželalija"
"Silvija","Samaržija"
"Tina","Došen"
"Elvis","Lehkec"
"Josipa","Petrović"
"Milica","Runko"
"Ivan","Filipaj"
"Mira","Bušljeta"
"Ivana","Mijatović"
"Ante Antonio","Vranješ"
"Marijo","Livaja"
"Samir","Barakovac"
"Marica","Jukić"
"Olgica","Čelec"
"Zorica","Mladinić"
"Darko","Kljajić"
"Damir","Andrijanić"
"Ivan","Hustić"
"Goran","Perković"
"Slavko","Pasarić"
"Igor","Juran"
"Igor","Nemeth"
"Antonija","Stipetić"
"Marinela","Biočić-Todorović"
"Ivan","Katić"
"Dario","Josipović"
"Igor","Humplik"
"Lidija","Augustinović"
"Lidija","Fuček-Preradović"
"Emerik","Ložnjak"
"Andrea","Đaković"
"Martina","Barbić"
"Marija","Dugački"
"Petar","Krizman"
"Đurđa","Martinjak"
"Andreas","Vlahović"
"Vlado","Mikec"
"Antun","Alagić"
"Erik","Grebović"
"Željka","Kovačević"
"Ana","Pavlović"
"Rosanda","Anđelić"
"Senka","Klarić"
"Darko","Petric"
"Marija","Tihić"
"Mihael","Karlović"
"Nada","Oršoš"
"Ana","Baričević"
"Dubravka","Miškić"
"Milan","Barilar"
"Kristina","Kavaš"
"Emica","Gelenčir"
"Ivančica","Beljak"
"Marijan","Horvatić"
"Snea","Novak"
"Ivana","Miletić"
"Marijo","Pavlović"
"Gordana","Kiš"
"Ivana","Jukić"
"Zoran","Stanisavljević"
"Kristina","Škreblin"
"Tomislav","Papić"
"Jasminka","Lukica"
"Krešimir","Bešker"
"Vice","Grabovac"
"Vesna","Korač"
"Eugenio","Fočić"
"Josip","Vincek"
"Silva","Dugandžić"
"Slađana","Tandara"
"Bruno","Milčić"
"Martin","Malijurek"
"Luka","Lukić"
"Tomislav","Uzbašić"
"Dijana","Kolobarić"
"Marijan","Lukić"
"Luka","Martinjak"
"Marija","Daić"
"Tomislav","Galić"
"Srećko","Jurin"
"Tomislav","Frankić"
"Marijan","Kuna"
"Snježana","Perić"
"Mladen","Đaković"
"Christian","Miljković"
"Vanja","Đurakić"
"Mato","Matanović"
"Ivica","Narančić"
"Tajana","Denkmajer"
"Ivan","Plavotić"
"Tino","Mrša"
"Daliborka","Bogdanović"
"Danijela","Bunčić"
"Nenad","Novosel"
"Alen","Rašić"
"Mario","Puškarić"
"Mirjana","Virovec"
"Danijela","Krampek"
"Mario","Cirkvenčić"
"Siniša","Martinčević"
"Davor","Budek"
"Željka","Vojvodić"
"Dijana","Pozaić"
"Marko","Iveković"
"Emilijo","Jablan"
"Ljubica","Škoro"
"Sanda","Delač"
"Hrvoje","Pađen"
"Renato","Hriberski"
"Ivana","Sertić"
"Anto","Parić"
"Marina","Golub"
"Petar","Čuljak"
"Zdenko","Karaga"
"Gordana","Hustić"
"Margareta","Cvetkovski"
"Tomislav","Hudika"
"Tajana","Gregec"
"Dejan","Štefanek"
"Tatjana","Marijan"
"Tanja","Evačić"
"Franjo","Hleb"
"Anamarija","Blagus"
"Goran","Jasika"
"Gordana","Tepeš Popović"
"Vesna","Vranić"
"Saša","Mihaljenović"
"Franjo","Sabo"
"Katica","Kantolić"
"Markus","Bošnjaković"
"Ivica","Junaković"
"Slobodan","Cvetičanin"
"Vesna","Mihaljković"
"Darije","Derviš"
"Mirko","Jelačić"
"Ines","Baždarić"
"Božica","Slunjski"
"Goran","Janković"
"Jure","Lemezina"
"Dubravko","Jug"
"Ivica","Vodopija"
"Smilja","Krstić Vlajnić"
"Mladen","Tokić"
"Branko","Jerković"
"Josip","Golubić"
"Kristijan","Babić"
"Gordana","Jelačić"
"Marko","Posavac"
"Tamara","Štih"
"Đurđica","Ščirek"
"Mato","Ćurić"
"Marijan","Garašić"
"Simona","Markov"
"Terezija","Vučković"
"Davor","Kligl"
"Karolina","Smrečki"
"Željka","Pavlović"
"Benjamin","Bubić"
"Petar","Perić"
"Neven","Jakelić"
"Daliborka","Šejić"
"Ines","Fiorentini"
"Miroslav","Marković"
"Ivan","Orsag"
"Safet","Mešić"
"Mirjana","Sinković"
"Luka","Perović"
"Zoran","Krznar"
"Dejan","Radojčić"
"Zvonko","Ivanjko"
"Vesna","Kenjereš"
"Tomislav","Raguž"
"Predrag","Čudina"
"Kornelija","Lušić"
"Adnan","Gafić"
"Branko","Tešija"
"Nikola","Krulj"
"Damir","Šimunović"
"Petar","Filipović"
"Nevia","Župan"
"Nikolina","Meaški"
"Dean","Maružin"
"Atila","Špiljar"
"Darko","Đuran"
"Edvin","Špada"
"Mira","Gregorina"
"Ivana","Mehić Mustač"
"Olga","Bursać"
"Hrvoje","Žuljević"
"Mario","Čavlek"
"Vedrana","Jozić"
"Marlena","Rogić"
"Jelena","Pavlović"
"Gordana","Petračić Ferić"
"Damir","Perši"
"Branislav","Antonić"
"Tamara","Bregović"
"Mirela","Mihoci"
"Siniša","Mikolić"
"Igor","Polanec"
"Željko","Diković"
"Lidija","Lenart"
"Jadranko","Papa Terzić"
"Zoran","Mlinarić"
"Mario","Botica"
"Kristijan","Pavlović"
"Marina","Ljubić"
"David","Juroš"
"Saša","Dianežević"
"Igor","Štampar"
"Vladimir","Hrlić"
"Renata","Pokos"
"Snježana Lucija","Mraz"
"Marica Mary","Kovačević"
"Ričard","Matura"
"Marko","Leutar"
"Greta","Pavić"
"Marko","Kukec"
"Ivan","Atlija"
"Sanja","Bevanda"
"Mario","Trnačić"
"Mateja","Žuti"
"Zlatko","Kuzman"
"Štefica","Delač"
"Ivan","Jukić"
"Marko","Jošić"
"Zdravko","Zagoršćak"
"Dalibor","Paštar"
"Toni","Gudac"
"Siniša","Žižek"
"Stjepan","Sabljarić"
"Mario","Anđal"
"Nikolina","Glištra"
"Ivan","Grgurinović"
"Dora","Malnar"
"Neno","Jakopec"
"Rajko","Dobošić"
"Marijana","Mrzljak"
"Bashkim","Dobruna"
"Miroslav","Levar"
"Častislav","Tolj"
"Šeherzada","Ređepi"
"Zlatko","Lukman"
"Anita","Mišković"
"Ivana","Dekalić"
"Željko","Barić"
"Ivana","Ralić"
"Marijan","Vasić"
"Ivana","Turković"
"Darko","Hanaftaler"
"Marina","Popovački"
"Robert","Podnar"
"Tin","Sivec"
"Dominko","Stojak"
"Goran","Kraljević"
"Daniela","Pavošević"
"Ivana","Uložnik"
"Zvonko","Vuković"
"Kristina","Nastav"
"Damir","Mujnović"
"Kata","Martinović"
"Sedina","Šturbej"
"Bruno","Belančić"
"Mirjana","Smoljić"
"Ana","Ćurković"
"Bruno","Bago"
"Aleksandar","Hađina"
"Luka","Damjanić"
"Ivica","Hodak"
"Tugomir","Žibrat"
"Željan","Alduk"
"Tomaš","Trnjanov"
"Ivan","Šojat"
"Goran","Živković"
"Damir","Dominković"
"Bruno","Jakelić"
"Igor","Dukarić"
"Josip","Novosel"
"Karlo","Vuksan"
"Zvonimir","Vuković"
"Mira","Gizdić"
"Ivan","Hojsak"
"Gordan","Horvatić"
"Dario","Car"
"Manuela","Novoselić"
"Ivan","Ujević"
"Valentina","Mašić"
"Ljiljana","Dukarić"
"Ilija","Jelić"
"Tomislav","Husak"
"Lorena","Šalković"
"Marko","Kunc"
"Miroslav","Konjsky"
"Igor","Rogina"
"Josip","Pavlović"
"Ivan","Horg"
"Neven","Piližota"
"Miroslav","Borković"
"Loris","Celija"
"Igor","Samardžija"
"Milo","Debeuc"
"Mirela","Posavec"
"Željko","Šegetin"
"Silvestar","Mikša"
"Ivan","Pavličević"
"Jana","Malbaša"
"Dejan","Jovanović"
